(-15.6701, 13.1943)
(171.968, -56.7812)
(9.47816, -4.551)
(-22.8376, 7.92822)
(5.09644, 4.05855)
(-3.42191, 1.48282)
(5.69226, -2.72996)
(6.19618, -3.1837)
(0.166342, -0.245594)
(1.89707, 6.07617)
(-31.655, 16.6485)
(8.80202, -0.0863459)
(-5.15072, 34.8538)
(-0.0164271, 76.3187)
(-2.24426, -4.38974)
(-1.69467, -8.05194)
(7.34715, -17.9693)
(4.22245, -1.1561)
(8.72505, 191.911)
(-12.6404, 5.57883)
(23.423, -93.1953)
(1.68762, 7.21235)
(-1.51256, 19.5306)
(20.5428, -29.7746)
(4.85068, -7.00691)
(90.7933, -49.9237)
(-0.794411, 5.67462)
(-8.14201, 5.64316)
(28.6555, -27.2461)
(-9.34853, 24.2934)
(-5.16109, 6.42715)
(-2.34987, 10.2621)
(-0.0278481, 15.9466)
(13.5886, -17.3399)
(35.4618, -29.2825)
(-6.66138, 1.52681)
(-3.646, 16.6298)
(31.78, -46.7575)
(14.5942, -14.226)
(5.12798, 3.51665)
(4.36153, 5.33482)
(-4.86308, -7.48328)
(6.20665, -11.579)
(15.1256, -2.64279)
(16.0782, -5.52339)
(4.51714, 4.20255)
(11.6277, -5.5535)
(4.44826, -34.0036)
(-3.54319, -1.12461)
(25.1281, -20.1214)
(1.03298, 1.81645)
(2.43269, -34.1873)
(6.1868, 2.67139)
(5.29079, -31.6817)
(-2.12481, -2.95505)
(7.85648, -4.09398)
(104.27, -151.592)
(-5.09624, 23.0541)
(-75.0521, 48.5215)
(-11.2401, 2.51929)
(6.86919, -12.3607)
(-30.9971, 36.7206)
(0.798239, -12.0853)
(-4.18214, -0.960049)
(-5.51604, -4.10595)
(1.05007, 8.91136)
(0.481011, -11.9541)
(19.9829, -14.5445)
(-22.281, 33.4653)
(16.386, -6.41055)
(3.29456, 15.7142)
(-5.02218, 28.475)
(-0.975963, -0.209304)
(-5.66404, 13.8753)
(9.1294, -10.7388)
(1.8728, 8.28867)
(-6.27022, 13.1717)
(79.625, -24.3847)
(-5.77426, -0.555288)
(3.14141, 5.58198)
(12.9542, -1.89262)
(-2.73904, 12.7864)
(5.93973, -1.78342)
(2.63996, -6.03217)
(75.1164, -212.456)
(38.8576, -10.2827)
(28.3016, -13.9134)
(27.0136, -127.479)
(-268.205, 181.704)
(-5.20728, -3.09743)
(7.33424, -8.4082)
(-3.68345, 2.29189)
(4.88918, -37.5009)
(-7.89726, 114.596)
(44.4141, -103.095)
(-7.4242, 3.4927)
(15.0037, -10.159)
(-6.03911, 14.939)
(2.12857, -11.8675)
(-0.685453, -16.8451)
(-9.4853, 58.1867)
(-2.39942, 9.74315)
(-18.1426, 41.6063)
(4.44824, -14.4675)
(-13.2843, 3.95357)
(1.26925, 3.51337)
(59.0909, -35.1292)
(-1.6434, 1.35949)
(-7.19158, -3.08323)
(-32.1003, 14.8663)
(22.7062, -8.79228)
(11.5083, -1.3126)
(162.228, -118.415)
(1.12172, -3.29268)
(2.58398, -1.0645)
(2.16084, 14.3316)
(-6.00096, 8.98899)
(11.8855, -12.278)
(0.219731, -12.0511)
(1.83747, -2.18714)
(-3.12945, 7.81857)
(75.19, -93.9952)
(15.2837, -25.1111)
(-1.92106, 2.65963)
(-1.70685, 12.1219)
(24.3117, -51.1766)
(8.4082, 0.200071)
(-171.66, 195.494)
(-6.76574, -4.04879)
(-1.91923, 18.2649)
(13.0486, -1.37971)
(38.2055, -9.46757)
(1.19175, 9.45124)
(51.4977, 744.668)
(-8.60481, 52.2173)
(41.8944, -13.6158)
(22.1493, 272.959)
(4.46232, 7.60549)
(50.397, -33.786)
(-12.213, 6.00125)
(-19.8439, 18.9907)
(-0.626504, 1.07674)
(2.26829, 14.0982)
(7.27836, 0.690128)
(-3.23844, -2.68796)
(-64.9229, 64.2877)
(0.021539, 0.11823)
(-6.62883, 17.0522)
(-3.8988, 7.17806)
(2.88738, -4.90286)
(-3.44142, -2.71158)
(2.72728, -4.98678)
(1563.4, -1045.03)
(2.55169, 31.6129)
(5.83044, 105.31)
(-2.46872, 0.818643)
(142.21, -198.122)
(73.1599, 559.422)
(-1.46155, 20.0593)
(2.33198, 485.524)
(7.63969, 0.516298)
(-36.396, 14.7416)
(34.0979, -11.0772)
(-5.89441, -4.53925)
(6.81172, 2.81201)
(-2.47846, 10.5853)
(-0.735492, -10.5705)
(-3.73584, 2.64748)
(0.0398217, -6.22629)
(4.79211, -6.56121)
(14.5203, -19.9149)
(-8.91052, 4.97594)
(6.48507, -12.0178)
(4.31708, 7.43707)
(4.86109, -0.362677)
(-12.1437, 13.7499)
(-9.72554, -1.58029)
(1.79931, 37.0584)
(-156.99, 90.8334)
(2.68029, 15.3057)
(0.0530143, 2.66651)
(-28.2347, 35.9897)
(3.20562, 13.5207)
(-2.92729, 6.20034)
(4.2601, -2.56442)
(2.02226, -1.19799)
(88.8105, -34.3504)
(-1.81288, -16.1069)
(5.64832, 2.64134)
(17.5102, -4.26568)
(3.25041, -9.2054)
(4.50688, -4.4068)
(2.17288, 6.21586)
(5.82872, 2.35959)
(17.1029, -27.4075)
(-44.626, 27.2842)
(6.12498, -8.91074)
(43.301, -64.1529)
(18.1879, -11.9388)
(-0.686267, -6.63025)
(-2.73482, -2.50295)
(15.0067, -25.1743)
(-19.7422, 21.986)
(-2.10807, -9.80854)
(-0.112302, -19.29)
(-119.569, 368.418)
(-9.35409, -2.77237)
(-0.234163, 13.4369)
(-195.729, 230.833)
(-14.7281, 16.8658)
(164.371, -220.706)
(-2.14257, 3.90145)
(52.5245, -12.0901)
(32.3888, -107.201)
(-6.14457, 22.1818)
(7.16405, -10.7907)
(5.10373, 0.522675)
(1.47263, 9.17653)
(-28.253, 34.4667)
(1.37826, 2.46199)
(8.36973, -1.65077)
(0.19329, 15.9082)
(6.41135, -0.698697)
(-19.0737, 27.1683)
(16.5618, -24.8654)
(10.1215, -2.42499)
(22.8806, -83.5844)
(-20.8218, 128.12)
(-2.42128, -5.42995)
(0.259203, -2.20176)
(2.20813, -9.70386)
(3.06489, 9.24023)
(0.899481, -8.49288)
(-66.9055, 160.09)
(-5.69518, -3.54309)
(-70.6995, 126.135)
(-16.1792, 18.6623)
(17.6534, -34.4879)
(6.74619, 2.37762)
(40.1698, -13.6499)
(-2.4681, -0.117742)
(20.9515, -16.0432)
(2.35154, 6.33523)
(9.25119, -50.8602)
(-4.3994, -4.40059)
(1.04401, 5.05851)
(-7.19036, -1.50215)
(24.3843, -13.189)
(24.5921, -30.1554)
(0.198095, 0.620525)
(4.15768, 6.35165)
(-0.811537, -8.57346)
(9.5253, -7.37122)
(-61.5735, 72.8665)
(-2.58846, -2.38918)
(2.40819, 4.57097)
(20.5456, -12.2052)
(-0.939246, 22.9833)
(-3.70338, -5.34032)
(-100.014, 217.611)
(-3.30107, 3.58296)
(22.885, -21.1738)
(1.37391, 14.9807)
(1.84108, -4.33864)
(-9.38191, 11.5575)
(3.92216, 3.47085)
(9.93815, -3.00487)
(4.19087, -2.86985)
(-2.82687, -6.32697)
(72.7288, -109.004)
(-12.739, 5.84483)
(10.904, -2.5194)
(1.29565, 8.59543)
(-15.4331, 2.59412)
(10.5569, -15.9204)
(40.8569, -13.3427)
(-8.21573, 0.767449)
(1.84213, 20.3508)
(3.41709, 8.2931)
(19.2248, -12.6378)
(-3.25232, 14.507)
(-0.697186, 24.8158)
(8.70686, -15.3805)
(45.003, -9.51791)
(-6.47588, 41.4794)
(0.633128, 4.64315)
(8.14047, -6.75513)
(-13.4716, 9.9004)
(10.3908, -12.2207)
(28.2561, -11.007)
(-3.6214, -6.65999)
(15.3399, -4.83824)
(3.05908, 0.635622)
(-6.8194, 0.411807)
(-21.288, 12.7985)
(3.39213, -16.3114)
(5.43978, -3.06522)
(837.254, -183.838)
(3.93114, 0.675771)
(-6.52682, 48.1984)
(13.7709, -13.1304)
(-6.90038, 9.90145)
(28.4657, -40.7256)
(5.48993, 3.96328)
(-1.69472, 6.22296)
(-1.35317, -14.743)
(-13.8808, 2.0162)
(2.50356, -0.191762)
(5.62665, -13.7814)
(0.26115, 26.4682)
(18.2403, -6.09567)
(4.46193, -3.73459)
(31.4813, -8.39098)
(-4.6982, 16.941)
(2.09272, -6.01762)
(3.50046, 3.57694)
(0.495455, -6.88796)
(2.62251, 0.626852)
(2.36681, 16.5355)
(3.2905, 2.31265)
(4.25946, 3.11309)
(-22.2362, 42.3326)
(14.1731, -4.28819)
(47.6336, -39.6638)
(1.95337, 9.56427)
(-16.0152, 11.2741)
(4.16676, -36.7311)
(-677.248, 406.237)
(1.23127, -2.77173)
(2.39889, -10.1404)
(6.33266, -2.20408)
(3.23943, 1.46715)
(-0.0262756, 1.54542)
(-16.5055, 13.6914)
(5.57727, -12.5798)
(3.20385, -0.331035)
(-4.45024, 8.74318)
(2.42937, -1.61554)
(33.1965, -10.6302)
(-1.38531, 9.19829)
(-32.1798, 42.0575)
(-17.2788, 13.1389)
(10.191, -2.74907)
(71.8317, -30.6727)
(-14.0069, 19.5429)
(1.85905, -0.557766)
(8.90795, -7.69203)
(-3.28095, -4.85993)
(-19.6646, 6.23216)
(-18.7654, 156.965)
(-8.65334, 19.1718)
(0.361661, -2.70048)
(4.62148, -3.98917)
(10.175, -13.5716)
(2.04594, 26.9022)
(-9.89795, 1.66779)
(3.17501, 8.5604)
(-0.396253, 6.17661)
(6.5774, -17.1067)
(23.3805, -70.6063)
(-5.60633, -4.27171)
(15.7555, -8.07736)
(-64.3835, 1275.57)
(21.8723, -7.66021)
(-11.5098, 7.39277)
(0.20376, 1.34904)
(5.1692, -5.27756)
(1.91902, 4.24716)
(-8.35917, 28.2858)
(-2.46871, 7.26857)
(0.234925, -6.69743)
(2.81512, 15.6125)
(-20.3554, 48.8098)
(8.29325, -0.621501)
(-5.33742, 14.2089)
(-4.83511, -5.59572)
(-1.46007, -0.00501085)
(2.58588, -3.13974)
(33.4318, -22.8995)
(0.564575, 3.41469)
(-2.64667, 28.2526)
(5.20949, 2.24989)
(-23.7915, 10.6874)
(19.4985, -12.4438)
(6.4965, -5.67049)
(-556.895, 528.314)
(-3.10114, 4.84362)
(0.0863614, -9.90222)
(54.4846, -23.9584)
(-23.4308, 17.3215)
(0.315487, 21.4642)
(-12.7969, 0.259256)
(16.8075, -5.59296)
(6.80651, -2.26667)
(4.07279, -3.61629)
(-14.8982, 61.2711)
(1.52689, 10.4708)
(-54.3953, 82.0889)
(-4.02948, 7.6135)
(5.36707, -3.06527)
(-61.3021, 96.6961)
(-0.691639, 14.3767)
(3.05799, 3.60448)
(-23.638, 597.634)
(16.3082, -17.5192)
(30.8494, -10.3629)
(0.578493, 30.3435)
(7.59254, -3.16036)
(-9.14395, 38.3417)
(0.516556, -15.6855)
(0.851256, 5.00361)
(0.718703, 7.83912)
(4.32106, 1.36973)
(-8.55572, -2.24215)
(-149.716, 527.426)
(0.114896, 4.28612)
(2.83199, 9.3909)
(-17.3575, 14.2465)
(-7.1035, -4.78315)
(-12.9825, 27.3794)
(2.6859, 8.28837)
(4.62274, 2.54725)
(-1.39415, 14.823)
(5.9099, -13.1378)
(34.9214, -14.5253)
(-504.216, 309.3)
(616.918, -749.077)
(7.72256, -43.3405)
(6.80459, 3.1621)
(85.1405, -21.5685)
(-9.09415, 1.67537)
(-9.12986, 11.5846)
(17.6739, -4.61895)
(76.7021, -48.792)
(-13.7784, 17.4816)
(17.8397, -5.5179)
(-2.41344, -8.64863)
(11.5634, -2.82801)
(-7.11797, 6.52961)
(38.314, -16.2165)
(6.56148, -2.27977)
(-22.8467, 15.139)
(-37.9026, 98.0694)
(1.61424, -2.91371)
(-51.892, 56.9073)
(4.88701, -9.35131)
(53.8164, -26.1104)
(43.1529, -47.4363)
(4.19027, -2.422)
(-6.60847, -2.65163)
(-6.39197, 12.5221)
(-3.81842, -7.11329)
(3.88659, 5.13248)
(0.649915, 18.4632)
(0.149348, 12.7395)
(-15.9785, 11.4895)
(114.388, -434.059)
(6.58307, 2.22165)
(1.05804, -3.18155)
(-28.1927, 848.372)
(-32.822, 60.6608)
(17.1355, -4.0902)
(359.125, -158.642)
(23.5182, -18.7725)
(10.4619, -1.87542)
(-3.79173, 3.61709)
(-2.8762, 3.1904)
(-9.2053, 3.50289)
(16.0709, -3.62206)
(-16.6763, 5.16636)
(12.9997, -10.952)
(-4.74285, -8.76872)
(3.228, 7.02059)
(-18.9909, 20.3167)
(-12.4299, 14.2753)
(-31.0336, 16.7794)
(9.67563, 0.240695)
(-1.9268, 22.6867)
(6.57767, -0.619805)
(-3.22462, 3.80987)
(17.3395, -41.9141)
(-13.2085, 24.2819)
(-0.448303, -5.25667)
(6.11363, -7.86341)
(-26.2851, 41.835)
(6.03831, 4.23092)
